country,landmark1,landmark2,landmark3,landmark4,landmark5,landmark6
Germany,Brandenburg Gate,Neuschwanstein Castle,Cologne Cathedral,Berlin Wall Memorial,Black Forest,Hamburg Harbor
Ghana,Cape Coast Castle,Kakum National Park,Mole National Park,Kwame Nkrumah Mausoleum,Wli Waterfalls,Elmina Castle
Greece,Acropolis,Santorini,Delphi,Meteora,Parthenon,Knossos
Greenland,Ilulissat Icefjord,Nuuk Art Museum,Disko Bay,Qaqortoq,Museum of Greenland,Eqi Glacier
Grenada,Grand Anse Beach,Fort George,Underwater Sculpture Park,Annandale Falls,Morne Rouge Beach,La Sagesse Nature Center
Guatemala,Tikal,Antigua Guatemala,Lake Atitlán,Semuc Champey,Pacaya Volcano,Chichicastenango Market
Guinea,Mount Nimba,Fouta Djallon,Îles de Los,Conakry Grand Mosque,National Museum of Guinea,Konkouré River
Guinea-Bissau,Bijagós Archipelago,Orango National Park,Bissau Velho,Varela Beach,Bubaque,Cacheu River
Guyana,Kaieteur Falls,Iwokrama Forest,St. George's Cathedral,Shell Beach,Georgetown,Essequibo River
Haiti,Citadelle Laferrière,Sans-Souci Palace,Bassin Bleu,Jacmel,Labadee,Iron Market
Honduras,Copán Ruins,Roatán,Celaque National Park,Pico Bonito,Lake Yojoa,Comayagua Cathedral
Hungary,Parliament Building,Buda Castle,Fisherman's Bastion,Lake Balaton,Széchenyi Baths,Hortobágy National Park
Iceland,Blue Lagoon,Golden Circle,Gullfoss,Seljalandsfoss,Reykjavík Hallgrímskirkja,Jökulsárlón
India,Taj Mahal,Red Fort,Kerala Backwaters,Varanasi Ghats,Hawa Mahal,Goa Beaches
Indonesia,Borobudur,Bali,Komodo National Park,Prambanan,Raja Ampat,Mount Bromo
Iran,Persepolis,Naqsh-e Jahan Square,Golestan Palace,Eram Garden,Shiraz,Yazd Old Town
Iraq,Erbil Citadel,Babylon,Ziggurat of Ur,Al-Mutanabbi Street,Al-Kadhimiya Mosque,Ashur
Ireland,Cliffs of Moher,Trinity College Library,Ring of Kerry,Blarney Castle,Giant's Causeway,Kilmainham Gaol
Israel,Western Wall,Old City of Jerusalem,Dead Sea,Masada,Bahá'í Gardens,Tel Aviv beaches
Italy,Colosseum,Venice Canals,Leaning Tower of Pisa,Florence Duomo,Vatican Museums,Amalfi Coast
Jamaica,Dunn's River Falls,Blue Mountains,Negril Seven Mile Beach,Port Royal,Bob Marley Museum,Rose Hall Great House
Japan,Mount Fuji,Tokyo Skytree,Fushimi Inari Shrine,Kinkaku-ji,Himeji Castle,Arashiyama Bamboo Grove
Jordan,Petra,Wadi Rum,Dead Sea,Jerash,Amman Citadel,Aqaba
Kazakhstan,Medeu,Charyn Canyon,Astana Bayterek Tower,Almaty,Kolsai Lakes,Turkestan
Kenya,Masai Mara,Mount Kenya,Amboseli National Park,Diani Beach,Lamu Old Town,Nairobi National Park
Kiribati,Christmas Island,Tarawa,Phoenix Islands Protected Area,Kiritimati,Butaritari,Abaiang
Kuwait,Kuwait Towers,Grand Mosque,The Avenues,Failaka Island,Souq Al-Mubarakiya,Al Shaheed Park
Kyrgyzstan,Issyk-Kul,Ala Archa National Park,Burana Tower,Song-Kul,Osh Bazaar,Tash Rabat
Laos,Luang Prabang,Pha That Luang,Plain of Jars,Kuang Si Falls,Vang Vieng,Wat Xieng Thong
Latvia,Riga Old Town,Rundāle Palace,Gauja National Park,Jurmala Beach,St. Peter's Church,Sigulda
Lebanon,Jeita Grotto,Byblos,Baalbek,Cedars of God,Beirut Corniche,Harissa
Lesotho,Maletsunyane Falls,Sehlabathebe National Park,Katse Dam,Thaba Bosiu,Bokong Nature Reserve,Leribe
Liberia,Sapo National Park,Providence Island,Robertsport,Kpatawee Waterfall,New Kru Town Beach,National Museum of Liberia
Libya,Leptis Magna,Sabratha,Ghadames,Cyrene,Red Castle Museum,Ain Zara
Liechtenstein,Vaduz Castle,Liechtenstein National Museum,Malbun,Gutenberg Castle,Rhein Park Stadium,Kunstmuseum Liechtenstein
Lithuania,Vilnius Old Town,Trakai Island Castle,Curonian Spit,Hill of Crosses,Kaunas Castle,Palanga Pier
Luxembourg,Bock Casemates,Vianden Castle,Old Quarter of Luxembourg City,Mullerthal Trail,Clervaux,Grand Ducal Palace
Madagascar,Avenue of the Baobabs,Tsingy de Bemaraha,Ranomafana National Park,Nosy Be,Isalo National Park,Andasibe-Mantadia
Malawi,Lake Malawi,Liwonde National Park,Mount Mulanje,Nyika National Park,Cape Maclear,Mua Mission
Malaysia,Petronas Towers,Langkawi,Batu Caves,George Town,Mount Kinabalu,Perhentian Islands
Maldives,Malé,Baa Atoll,Ari Atoll,Vaadhoo Island,Banana Reef,Hulhumalé Beach
Mali,Djenné Mosque,Timbuktu,Bandiagara Escarpment,Sangha,National Museum of Mali,Niger River
Malta,Valletta,Mdina,Blue Grotto,Ħaġar Qim,Gozo,St. John's Co-Cathedral
Marshall Islands,Bikini Atoll,Majuro,Arno Atoll,Laura Beach,Alele Museum,Mili Atoll
Mauritania,Banc d'Arguin,Chinguetti,Terjit Oasis,Nouakchott,Richat Structure,Atar
Mauritius,Le Morne Brabant,Black River Gorges,Île aux Cerfs,Port Louis,Chamarel Seven Coloured Earths,Grand Baie
Mexico,Chichen Itza,Teotihuacan,Cancun,Frida Kahlo Museum,Palenque,Copper Canyon
Micronesia,Nan Madol,Chuuk Lagoon,Yap Stone Money,Pohnpei,Kosrae,Weno
Moldova,Orheiul Vechi,Cricova Winery,Saharna Monastery,Capriana Monastery,Milestii Mici,Tiraspol
Monaco,Monte Carlo Casino,Prince's Palace,Oceanographic Museum,Larvotto Beach,Monaco Cathedral,Japanese Garden
Mongolia,Gobi Desert,Gandantegchinlen Monastery,Terelj National Park,Karakorum,Khövsgöl Lake,Sükhbaatar Square
Montenegro,Kotor Old Town,Durmitor National Park,Bay of Kotor,Sveti Stefan,Ostrog Monastery,Lovćen National Park
Morocco,Jemaa el-Fnaa,Hassan II Mosque,Chefchaouen,Ait Benhaddou,Sahara Desert,Fez Medina
Mozambique,Bazaruto Archipelago,Maputo Fortress,Quirimbas Archipelago,Gorongosa National Park,Tofo Beach,Ilha de Moçambique
Myanmar,Bagan,Shwedagon Pagoda,Inle Lake,Mandalay Palace,Golden Rock,U Bein Bridge
Namibia,Sossusvlei,Etosha National Park,Fish River Canyon,Swakopmund,Skeleton Coast,Deadvlei
Nauru,Anibare Bay,Buada Lagoon,Command Ridge,Moqua Caves,Japanese Guns,Yaren
Nepal,Mount Everest,Kathmandu Durbar Square,Pokhara,Pashupatinath Temple,Bhaktapur,Chitwan National Park
Netherlands,Anne Frank House,Keukenhof,Rijksmuseum,Canals of Amsterdam,Kinderdijk,Efteling
New Caledonia,Isle of Pines,Tjibaou Cultural Centre,Amédée Lighthouse,Blue River Provincial Park,Lifou,Lagoon of Ouvéa
New Zealand,Milford Sound,Rotorua,Waitomo Caves,Auckland Sky Tower,Fiordland National Park,Hobbiton
Nicaragua,Granada,Masaya Volcano,Ometepe Island,León Cathedral,Corn Islands,Mombacho Volcano
Niger,Air Mountains,W National Park,Agadez,Niamey Grand Mosque,Tenere Desert,Djado Plateau
Nigeria,Zuma Rock,Yankari National Park,Lekki Conservation Centre,Olumo Rock,Gidan Makama Museum,Obudu Plateau
North Korea,Mount Paektu,Kumsusan Palace,Ryugyong Hotel,Mansu Hill,"Arch of Triumph, Pyongyang",Korean Demilitarized Zone
North Macedonia,Lake Ohrid,"Old Bazaar, Skopje",Mavrovo National Park,St. Panteleimon,Matka Canyon,Heraclea Lyncestis
Norway,Geirangerfjord,Lofoten Islands,Bryggen,Trolltunga,Northern Lights,Oslo Opera House
Oman,Sultan Qaboos Grand Mosque,Wahiba Sands,Jebel Akhdar,Nizwa Fort,Wadi Shab,Muttrah Souq
Pakistan,Badshahi Mosque,Mohenjo-daro,Hunza Valley,Faisal Mosque,Karimabad,K2 Base Camp
Palau,Rock Islands,Jellyfish Lake,Ngardmau Falls,Peleliu,Koror,Milky Way Lagoon
Palestine,Old City of Jerusalem,Church of the Nativity,Sebastia,Hisham's Palace,Masjid al-Aqsa,Mar Saba Monastery
Panama,Panama Canal,Casco Viejo,Bocas del Toro,San Blas Islands,Pearl Islands,Boquete
Papua New Guinea,Kokoda Track,Trobriand Islands,Varirata National Park,Sepik River,Mount Wilhelm,Port Moresby Nature Park
Paraguay,Itaipu Dam,Encarnación,Jesuit Missions of La Santísima Trinidad,Asunción,Ybycuí National Park,Saltos del Monday
Peru,Machu Picchu,Cusco,Nazca Lines,Lake Titicaca,Sacred Valley,Colca Canyon
Philippines,Chocolate Hills,Boracay,Palawan,Intramuros,Mayon Volcano,Tubbataha Reefs
Poland,Wawel Castle,Old Town of Warsaw,Auschwitz-Birkenau,Malbork Castle,Wieliczka Salt Mine,Gdańsk Old Town
Portugal,Belém Tower,Jerónimos Monastery,Algarve,Douro Valley,Sintra,Pena Palace
Qatar,Museum of Islamic Art,Souq Waqif,The Pearl-Qatar,Katara Cultural Village,Aspire Tower,Khor Al Adaid
Romania,Bran Castle,Peleș Castle,Transylvania,Bucharest Old Town,Danube Delta,Merry Cemetery
Russia,Red Square,Saint Basil's Cathedral,Hermitage Museum,Lake Baikal,Kremlin,Trans-Siberian Railway
Rwanda,Volcanoes National Park,Kigali Genocide Memorial,Lake Kivu,Nyungwe Forest,King's Palace Museum,Akagera National Park
Saint Kitts and Nevis,Brimstone Hill Fortress,Pinney's Beach,Basseterre,Nevis Peak,Romney Manor,Frigate Bay
Saint Lucia,Pitons,Sulphur Springs,Pigeon Island,Marigot Bay,Anse Chastanet,Diamond Falls
Saint Vincent and the Grenadines,Tobago Cays,Fort Charlotte,La Soufrière,"Botanical Gardens, Kingstown",Mayreau,Bequia
Samoa,To-Sua Ocean Trench,Papaseea Sliding Rocks,Robert Louis Stevenson Museum,Lalomanu Beach,Immaculate Conception Cathedral,Afu Aau Falls
San Marino,Guaita,Cesta,Montale,Basilica of San Marino,Monte Titano,Piazza della Libertà
São Tomé and Príncipe,Obo National Park,Pico Cão Grande,Roca Sundy,Praia Banana,São Sebastião Museum,Cascata São Nicolau
Saudi Arabia,Masjid al-Haram,Masjid an-Nabawi,Al-Ula,Edge of the World,Diriyah,"Al-Balad, Jeddah"
Senegal,Dakar Grand Mosque,Lake Retba,Gorée Island,Niokolo-Koba National Park,Pink Lake,Bandia Reserve
Serbia,Belgrade Fortress,Studenica Monastery,Đavolja Varoš,Novi Sad Petrovaradin Fortress,Tara National Park,Sremski Karlovci
Seychelles,Anse Lazio,Vallée de Mai,Anse Source d'Argent,Morne Seychellois,Victoria,Curieuse Island
Sierra Leone,Tacugama Chimpanzee Sanctuary,Tiwai Island,Bunce Island,Gola Rainforest,Aberdeen Beach,Sierra Leone National Museum
Singapore,Marina Bay Sands,Gardens by the Bay,Sentosa,Singapore Botanic Gardens,Merlion Park,Chinatown
Slovakia,Bratislava Castle,High Tatras,Spiš Castle,Old Town Bratislava,Slovak Paradise National Park,Banská Štiavnica
Slovenia,Lake Bled,Postojna Cave,Ljubljana Castle,Triglav National Park,Predjama Castle,Piran
Solomon Islands,Guadalcanal,Marovo Lagoon,Mataniko Falls,Kennedy Island,Honiara Central Market,Rennell Island
Somalia,Laas Geel,Mogadishu Lido,Berbera,Golis Mountains,Hargeisa War Memorial,Iskushuban Falls
South Africa,Table Mountain,Kruger National Park,Cape of Good Hope,Robben Island,Drakensberg,Garden Route
South Korea,Gyeongbokgung Palace,N Seoul Tower,Jeju Island,Bukchon Hanok Village,Bulguksa,Busan Haeundae
South Sudan,Boma National Park,Nimule National Park,John Garang Mausoleum,Sudd Wetlands,Juba Nile,Nimule Falls
Spain,Sagrada Familia,Alhambra,Prado Museum,Park Güell,Royal Palace of Madrid,Seville Cathedral
Sri Lanka,Sigiriya,Temple of the Tooth,Galle Fort,Yala National Park,Ella,Adam's Peak
Sudan,Pyramids of Meroë,Nubian Desert,Khartoum Nile Confluence,Naqa,Jebel Barkal,Sanganeb Marine National Park
Suriname,Central Suriname Nature Reserve,Fort Zeelandia,Paramaribo,Brownsberg Nature Park,Bigi Pan,Commewijne District
Sweden,Gamla Stan,Vasa Museum,Drottningholm Palace,Abisko National Park,Icehotel,Visby
Switzerland,Matterhorn,Lake Geneva,Jungfraujoch,Château de Chillon,Rhine Falls,Old Town of Bern
Syria,Umayyad Mosque,Palmyra,Aleppo Citadel,Crac des Chevaliers,Old Damascus,Bosra
Tajikistan,Fann Mountains,Pamir Highway,Iskanderkul,Hisor Fortress,Dushanbe,Yagnob Valley
Tanzania,Serengeti National Park,Mount Kilimanjaro,Zanzibar Stone Town,Ngorongoro Crater,Selous Game Reserve,Tarangire National Park
Thailand,Grand Palace,Wat Pho,Ayutthaya,Phi Phi Islands,Chiang Mai Temples,Railay Beach
Timor-Leste,Atauro Island,Cristo Rei of Dili,Jaco Island,Mount Ramelau,Baucau,Nino Konis Santana National Park
Togo,Koutammakou,Lomé Grand Market,Fazao-Malfakassa National Park,Togoville,Mount Agou,Akloa Beach
Tonga,Haʻamonga ʻa Maui,Mapu'a 'a Vaea Blowholes,Vava'u Islands,Anahulu Cave,Nuku'alofa,Tongatapu
Trinidad and Tobago,Maracas Bay,Pitch Lake,Fort George,Queen's Park Savannah,Caroni Bird Sanctuary,Pigeon Point
Tunisia,Carthage,El Djem Amphitheatre,Sidi Bou Said,Medina of Tunis,Dougga,Chott el Jerid
Turkey,Hagia Sophia,Cappadocia,Blue Mosque,Pamukkale,Topkapi Palace,Ephesus
Turkmenistan,Darvaza Gas Crater,Ashgabat,Merv,Köw Ata Underground Lake,Nisa,Yangykala Canyon
Tuvalu,Funafuti Conservation Area,Nanumea,Vaitupu,Fongafale,Tuvalu National Library and Archives,Te Namo
Uganda,Bwindi Impenetrable Forest,Murchison Falls,Queen Elizabeth National Park,Lake Bunyonyi,Kasubi Tombs,Jinja Source of the Nile
Ukraine,Saint Sophia Cathedral,Kyiv Pechersk Lavra,Lviv Old Town,Odesa Opera House,Khotyn Fortress,Carpathian Mountains
United Arab Emirates,Burj Khalifa,Sheikh Zayed Grand Mosque,Palm Jumeirah,Dubai Marina,Louvre Abu Dhabi,Jebel Jais
United Kingdom,Big Ben,Tower of London,Stonehenge,Edinburgh Castle,Buckingham Palace,Lake District
United States,Grand Canyon,Statue of Liberty,Yellowstone National Park,Golden Gate Bridge,Yosemite National Park,Times Square
Uruguay,Montevideo Old City,Punta del Este,Colonia del Sacramento,Cabo Polonio,Salto del Penitente,Punta del Diablo
Uzbekistan,Registan,Bukhara Old City,Khiva Itchan Kala,Samarkand,Chor Minor,Fergana Valley
Vanuatu,Mount Yasur,"Blue Hole, Santo",Mele Cascades,Port Vila,Champagne Beach,Millennium Cave
Vatican City,St. Peter's Basilica,St. Peter's Square,Vatican Museums,Sistine Chapel,Apostolic Palace,Vatican Gardens
Venezuela,Angel Falls,Mérida Cable Car,Los Roques,Morrocoy National Park,Canaima National Park,Catatumbo Lightning
Vietnam,Ha Long Bay,Hoi An Ancient Town,Cu Chi Tunnels,Phong Nha-Ke Bang,Hue Imperial City,Mekong Delta
Yemen,Old City of Sana'a,Socotra,Shibam,Al Saleh Mosque,Aden,Wadi Hadhramaut
Zambia,Victoria Falls,South Luangwa National Park,Lower Zambezi National Park,Lusaka National Museum,Kafue National Park,Livingstone
Zimbabwe,Victoria Falls,Great Zimbabwe,Hwange National Park,Matobo Hills,Mana Pools,Nyanga National Park
Puerto Rico,Old San Juan,El Yunque National Forest,Castillo San Felipe del Morro,Flamenco Beach,Ponce Historic Zone,Rio Camuy Cave Park
